precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:20:45",1015,1006,2,1,6,565,558,0,1,6,554,11,1100,535,336,32,38,5,74,69
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:26:30",994,978,0,3,13,545,529,0,3,13,526,19,1103,558,273,35,31,5,57,125
