precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"CAMIN CULTURAL",560,"SÂNNICOLAU ROMÂN",32179,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:00:05",1078,972,1,95,10,821,716,0,95,10,773,46,1062,241,187,83,453,27,14,9
5,BIHOR,GRADINITA,562,"SÂNNICOLAU ROMÂN",32179,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:37",582,542,0,30,10,463,423,0,30,10,411,52,616,153,153,35,211,7,0,5
5,BIHOR,"SCOALA GENERALA",561,"SÂNNICOLAU ROMÂN",32179,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:21",310,269,0,32,9,243,202,0,32,9,231,12,302,59,81,20,130,0,0,0
