precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANCA ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","CICŞA STELIAN-OCTAVIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","POP IACOB-PARTIDUL ECOLOGIST ROMÂN-voturi","TOMI IONEL-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","POP DANA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ILVA MARE",145,"ILVA MARE",33337,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:07",877,847,0,2,28,560,530,0,2,28,538,22,950,390,246,202,16,42,32
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ILVA MARE",144,"ILVA MARE",33337,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:41",1021,993,1,0,27,719,692,0,0,27,698,21,1112,393,360,280,1,38,19
