precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTIN TITI-PARTIDUL SOCIAL DEMOCRAT-voturi","MOCANU NICOLAIE-PARTIDUL NAȚIONAL LIBERAL-voturi","CONSTANDACHE ALEXANDRU-PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,"CĂMINUL CULTURAL GRECI",121,GRECI,160430,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:06",1431,1421,3,7,0,656,649,0,7,0,638,18,1577,921,308,318,12
38,TULCEA,"ŞCOALA GIMNAZIALĂ GRECI, CORP B",122,GRECI,160430,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:34",1494,1490,1,3,0,706,703,0,3,0,689,17,1646,940,329,342,18
38,TULCEA,"ŞCOALA GIMNAZIALĂ GRECI, CORP B",123,GRECI,160430,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:35:43",1190,1178,1,9,2,523,512,0,9,2,515,8,1303,780,243,255,17
