precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TODERAŞ COSMIN-DOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","BORICEAN NISTOR-PARTIDUL NAȚIONAL LIBERAL-voturi"
8,BRAŞOV,"CAMINUL CULTURAL ARINI",379,MĂIERUŞ,41382,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:52",857,844,0,4,9,555,542,0,4,9,527,28,961,406,136,391
8,BRAŞOV,"CAMINUL CULTURAL MAIERUS",378,MĂIERUŞ,41382,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:18",1481,1454,1,5,21,950,924,0,5,21,926,24,1600,650,351,575
