precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:09:35",208,202,0,2,4,138,132,0,2,4,132,6,250,112,2,120,10
33,SĂLAJ,"PRIMĂRIA COMUNEI BOGHIŞ",96,BOGHIŞ,180037,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:02:13",1295,1249,3,3,40,794,751,0,3,40,752,41,1387,561,24,690,38
