precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CÎRSTEA VIOREL-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL AREFU",203,AREFU,14049,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:15",983,974,1,5,3,626,618,0,5,3,597,29,1016,390,321,40,125,111
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ GEORGE STEPHĂNESCU",202,AREFU,14049,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:31",871,859,1,3,8,559,549,0,3,7,540,19,1001,442,269,52,181,38
