precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP GRATIAN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ACHIM CĂLIN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALA ”ION POPESCU DE COAȘ”",281,COAŞ,179837,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:27:47",1211,1109,2,52,48,922,821,1,52,48,904,18,1241,319,178,726
26,MARAMUREŞ,"ŞCOALA PRIMARĂ ÎNTRERÂURI",282,COAŞ,179837,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:49:46",77,65,0,10,2,61,49,0,10,2,60,1,100,39,3,57
