precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNGUREANU DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CEOBANU MARIAN-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","CUCU VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"SCOALA GIMNAZIALĂ IOAN BĂNCESCU ADÂNCATA - CORPUL CU CLASELE I-IV",201,ADÂNCATA,146799,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:27",1417,1409,2,6,0,710,703,1,6,0,692,18,1550,840,81,88,523
35,SUCEAVA,"SCOALA GIMNAZIALĂ IOAN BĂNCESCU ADÂNCATA - CORPUL CU CLASELE V-VIII",202,ADÂNCATA,146799,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:00",1023,1021,1,1,0,547,546,0,1,0,528,19,1120,573,58,141,329
35,SUCEAVA,"ŞCOALA PRIMARĂ CĂLUGĂRENI",203,ADÂNCATA,146799,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:05:26",658,657,0,0,1,299,298,0,0,1,290,9,718,419,23,23,244
35,SUCEAVA,"ŞCOALA PRIMARĂ FETEŞTI",204,ADÂNCATA,146799,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:37",478,477,1,0,0,226,226,0,0,0,216,10,523,297,10,10,196
