precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUDURUŢĂ OVIDIU-COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","GALIŢ IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ ”FLORICĂ MURARIU” MITOC",322,MITOC,38376,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:38:18",931,917,0,1,13,551,537,0,1,13,530,21,1000,449,107,423
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR. 1 HORIA",323,MITOC,38376,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:06",380,379,0,0,1,208,207,0,0,1,200,8,446,238,56,144
