precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE EMIL PALADE”",52,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:28",1401,1388,1,12,0,614,602,0,12,0,602,12,1600,986,328,81,58,22,22,91
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",27,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:51",1431,1427,1,3,0,597,594,0,3,0,578,19,1600,1003,388,69,48,19,3,51
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",29,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:30",1532,1528,1,3,0,658,655,0,3,0,645,13,1700,1042,411,69,56,34,13,62
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",30,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:16:24",1262,1261,1,0,0,604,604,0,0,0,590,14,1400,796,405,55,41,27,14,48
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",28,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:07:40",1310,1302,1,7,0,602,595,0,7,0,583,19,1400,798,390,74,35,30,9,45
10,BUZĂU,"ȘCOALA GIMNAZIALA ”MIHAI L KOGĂLNICEANU”",79,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:19:31",1626,1626,0,0,0,603,603,0,0,0,580,23,1800,1197,212,264,44,47,3,10
10,BUZĂU,"ȘCOALA GIMNAZIALA ”MIHAI L KOGĂLNICEANU”",78,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:54:27",1526,1522,0,4,0,516,512,0,4,0,497,19,1700,1179,263,84,64,33,8,45
10,BUZĂU,"ȘCOALA GIMNAZIALA ”MIHAI L KOGĂLNICEANU”",80,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:02:09",1668,1668,0,0,0,609,609,0,0,0,462,123,1800,1200,175,193,53,38,3,0
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICOLAE TITULESCU„",63,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:45",1270,1257,3,10,0,542,532,0,10,0,534,8,1400,858,227,72,52,29,20,134
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICOLAE TITULESCU„",64,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:01",1385,1379,0,6,0,590,584,0,6,0,567,23,1500,910,291,67,62,36,23,88
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICU CONSTANTINESCU”",41,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:07",1029,1020,0,9,0,444,435,0,9,0,434,10,1100,656,253,66,33,24,12,46
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICU CONSTANTINESCU”",43,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:45:04",1589,1579,2,7,1,699,691,0,7,1,673,26,1700,1001,340,129,76,29,29,70
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICU CONSTANTINESCU”",42,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:25",914,909,2,3,0,412,409,0,3,0,395,17,1000,588,235,50,29,20,9,52
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",4,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:55:12",1499,1485,0,14,0,718,704,0,14,0,681,23,1600,896,425,76,50,36,19,75
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",3,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:40",1241,1239,0,2,0,492,490,0,2,0,484,8,1400,908,270,64,52,18,21,59
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",5,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:41",1484,1478,0,6,0,704,698,0,6,0,679,25,1700,996,410,91,59,34,21,64
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",6,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:02",1311,1308,0,3,0,566,563,0,3,0,540,26,1400,834,339,72,39,25,11,54
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 7",15,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:07",1604,1597,1,6,0,718,712,0,6,0,703,14,1800,1083,462,74,55,31,12,69
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 7",14,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:43:04",1648,1640,0,6,2,688,680,0,6,2,661,19,1800,1112,412,79,58,37,15,60
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",36,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:31",1132,1132,0,0,0,486,486,0,0,0,466,20,1300,814,300,46,59,31,5,25
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",35,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:53",893,890,2,0,1,355,352,2,0,1,345,10,1000,645,233,31,33,18,3,27
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",37,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:19:42",1464,1454,1,9,0,603,594,0,9,0,580,23,1600,989,394,47,60,25,16,38
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",67,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:51:06",1394,1387,0,6,1,588,581,0,6,1,568,20,1500,912,348,79,52,28,15,46
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",65,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:15",1216,1182,0,9,25,499,465,0,9,25,492,7,1692,1193,298,79,33,21,16,45
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",68,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:49:08",1586,1575,1,10,0,694,684,0,10,0,661,33,1700,1006,391,83,61,25,26,75
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",66,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:22",1317,1311,1,5,0,508,503,0,5,0,490,18,1500,992,282,68,40,35,16,49
10,BUZĂU,"SEMINARUL TEOLOGIC ORTODOX ”CHESARIE EPISCOPUL”",73,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:22:47",1314,1304,0,8,2,621,611,0,8,2,603,18,1500,879,335,102,50,20,12,84
10,BUZĂU,"SEMINARUL TEOLOGIC ORTODOX ”CHESARIE EPISCOPUL”",74,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:01:19",1593,1584,0,8,1,612,603,0,8,1,589,23,1700,1088,302,88,60,40,15,84
