precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HÉGELY LEVENTE-EMIL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SIMANDI ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"PRIMĂRIA COMUNEI ZERIND",435,ZERIND,12849,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:19:34",744,734,4,1,5,479,471,2,1,5,461,18,810,331,116,345
2,ARAD,"ŞCOALA PRIMARA IERMATA NEAGRA",436,ZERIND,12849,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:55",474,467,3,1,3,282,278,0,1,3,274,8,520,238,85,189
