precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL PRO ROMÂNIA-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",231,"ASUAJU DE SUS",107083,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:07",277,235,0,35,7,195,153,0,35,7,192,3,284,89,87,27,70,0,7,1
26,MARAMUREŞ,PRIMĂRIA,230,"ASUAJU DE SUS",107083,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:24",846,694,0,117,35,684,532,0,117,35,651,33,800,116,153,202,213,16,46,21
