precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COSTACHE ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GEAMĂ DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","PERIFAN GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SOLOMON DORIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
14,CONSTANŢA,"LICEUL TEHNOLOGIC ” MIHAI VITEAZUL”",495,"MIHAI VITEAZU",62253,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:11",1583,1555,1,5,22,871,843,1,5,22,847,24,1748,877,398,256,38,155
14,CONSTANŢA,"SCOALA GIMNAZIALĂ NR. 1 SINOE",496,"MIHAI VITEAZU",62253,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:13:32",1232,1216,0,12,4,726,710,0,12,4,700,25,1339,614,229,302,51,118
