precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PNL - PUSL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:40",419,385,1,19,14,331,298,0,19,14,320,11,400,69,219,37,9,15,40
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:24",592,534,9,27,22,430,379,2,27,22,411,19,627,197,228,33,50,46,54
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:27",449,425,0,7,17,343,319,0,7,17,330,13,500,157,232,22,7,17,52
