precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARIN STOICA-PARTIDUL SOCIAL DEMOCRAT-voturi","PRUNĂ DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","TURCEA OVIDIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMIN CULTURAL CĂNEŞTI",187,CĂNEŞTI,45888,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:31",410,360,0,18,32,314,264,0,18,32,307,7,424,110,254,21,32
10,BUZĂU,"SCOALA PRIMARA NEGOSINA",188,CĂNEŞTI,45888,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:26:34",143,130,0,3,10,113,100,0,3,10,105,8,160,47,94,0,11
