precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"ŞCOALA CU CLASELE I-IV CĂCIULATU",505,TERPEZIŢA,74359,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:28",279,236,0,24,19,214,171,0,24,19,197,17,300,86,83,20,94
17,DOLJ,"ŞCOALA CU CLASELE I-IV LAZU",506,TERPEZIŢA,74359,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:09",265,228,0,24,13,208,171,0,24,13,203,5,300,91,76,9,118
17,DOLJ,"ŞCOALA GENERALĂ TERPEZIŢA",504,TERPEZIŢA,74359,4,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:56:20",858,710,0,105,43,655,507,0,105,43,640,15,704,49,304,12,324
