precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STANCA PAVEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BALAZS ISTVAN-BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SZABO CAMELIA-DELIA-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"CĂMIN CULTURAL",637,SUATU,59657,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:48",221,213,0,4,4,134,126,0,4,4,125,9,240,106,11,82,32
13,CLUJ,"SEDIUL ADMINISTRATIV AL PRIMARIEI SUATU",636,SUATU,59657,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:28",994,970,1,3,20,689,666,0,3,20,641,48,1080,391,37,554,50
