precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","CHEŞCHEŞ ANDREA-NOEMI-voturi"
13,CLUJ,"CĂMIN CULTURAL PLĂIEȘTI",567,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:44",527,506,0,5,16,344,323,0,5,16,328,16,581,237,25,45,244,4,10
13,CLUJ,"CĂMIN CULTURAL PODENI",568,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:51",339,333,0,6,0,142,136,0,6,0,138,4,352,210,15,71,8,42,2
13,CLUJ,"CĂMINUL CULTURAL",566,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:34:49",108,101,0,7,0,66,59,0,7,0,65,1,109,43,13,15,24,11,2
13,CLUJ,"CASA SATULUI",565,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:55:19",581,551,0,17,13,369,339,0,17,13,353,16,616,247,25,35,276,11,6
13,CLUJ,"CLĂDIREA PRIMĂRIEI",569,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:51:45",163,155,0,8,0,87,79,0,8,0,83,4,171,84,19,20,38,5,1
13,CLUJ,"PRIMĂRIA COMUNEI",563,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:55",597,579,0,8,10,385,367,0,8,10,381,4,635,250,14,238,122,4,3
13,CLUJ,"ŞCOALA CU CLASELE I-VIII",564,MOLDOVENEŞTI,58721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:17",412,405,1,2,4,276,270,0,2,4,271,5,453,177,2,131,128,6,4
