precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOBRIN ION-PARTIDUL NAȚIONAL LIBERAL-voturi","EFTIMIE NICULAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PENCU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","URSEI IONUŢ-MARIUS-PARTIDUL OAMENILOR TINERI-voturi","IACOB GICĂ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-IV VALEA STANII",165,LUICA,104083,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:25",440,418,0,11,11,265,243,0,11,11,258,7,429,164,190,8,53,5,2
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-VIII LUICA",164,LUICA,104083,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:36",1236,1184,0,21,31,747,695,0,21,31,668,27,1323,628,433,25,137,43,30
