precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VIGHECIU ADRIAN-NICOLAE-ALIANȚA ELECTORALĂ PSD PNL-voturi","VADIM-TUDOR LIDIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALBU SAVEL-ADRIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","DIMITRIU ALEXANDRU-PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UJEUCA MICHAEL-DAN-PARTIDUL SOCIAL DEMOCRAT UNIT-voturi","POPESCU VLAD-PIEDONE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","STATE CONSTANTIN-MIREL-PARTIDUL ROMÂNIA MARE-voturi","ILIE MARIO-RAFAEL-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","MARIN ŞTEFĂNEL-DAN-PARTIDUL S.O.S. ROMÂNIA-voturi","VANGHELIE MARIAN-DANIEL-voturi"
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",927,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:24:28",1269,1264,3,2,0,566,564,0,2,0,559,7,1400,834,90,25,13,132,1,263,4,3,6,22
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",926,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:53:03",1229,1216,6,7,0,599,592,0,7,0,586,11,1400,801,122,53,27,134,3,223,4,2,6,12
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",957,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:47:07",852,802,49,1,0,311,311,0,0,0,300,11,900,589,61,24,17,109,2,53,3,2,5,24
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",956,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:33:33",630,614,11,5,0,299,294,0,5,0,288,11,700,401,71,18,22,119,8,24,1,1,7,17
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",960,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 20:37:04",589,566,1,7,15,220,197,1,7,15,212,8,800,580,48,21,19,73,1,31,1,2,4,12
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",959,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:47:08",727,692,24,11,0,304,292,1,11,0,293,10,800,497,65,20,32,103,4,42,1,1,3,22
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",958,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:37:02",442,421,18,2,1,155,152,0,2,1,150,5,600,445,42,13,12,42,2,30,1,1,0,7
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",864,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 16:58:33",1327,1301,19,7,0,582,575,0,7,0,559,23,1400,818,103,45,12,102,1,250,4,2,12,28
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",865,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:14:25",1009,1002,2,5,0,432,427,0,5,0,422,10,1100,668,72,32,15,78,4,187,2,1,12,19
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",866,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:36:17",1142,1039,95,8,0,435,427,0,8,0,426,9,1100,665,74,44,13,94,3,160,1,2,14,21
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",863,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:06:46",1198,1181,8,8,1,495,486,0,8,1,482,13,1300,805,79,35,19,77,0,233,6,2,9,22
48,"Sector 5","FACULTATEA DE DREPT",953,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:46:22",654,622,7,24,1,310,284,1,24,1,296,10,800,490,61,24,20,125,0,34,1,3,5,23
48,"Sector 5","FACULTATEA DE DREPT",955,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:55:02",572,543,23,4,2,219,213,0,4,2,213,6,800,581,55,22,14,64,2,32,1,0,6,17
48,"Sector 5","FACULTATEA DE DREPT",954,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:22:02",579,569,1,8,1,238,228,1,8,1,233,5,800,463,44,20,14,105,3,29,2,0,8,8
48,"Sector 5","GRĂDINIȚA NR.168",924,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:08:44",1323,1300,13,10,0,588,577,1,10,0,577,11,1400,812,106,43,23,223,8,132,3,3,12,24
48,"Sector 5","GRĂDINIȚA NR.168",925,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:39:11",1059,1045,4,10,0,466,456,0,10,0,448,18,1100,634,70,27,26,167,0,131,1,3,6,17
48,"Sector 5","GRĂDINIȚA NR.205",943,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:06:20",1109,1105,0,4,0,510,506,0,4,0,505,5,1200,690,96,33,14,99,1,215,6,4,10,27
48,"Sector 5","GRĂDINIȚA NR.205",940,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:10:40",1006,1006,0,0,0,488,488,0,0,0,472,16,1200,712,73,26,12,78,2,252,3,2,8,16
48,"Sector 5","GRĂDINIȚA NR.205",941,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:47:04",1215,1204,5,5,1,560,554,0,5,1,542,18,1400,840,89,30,5,128,1,244,1,3,13,28
48,"Sector 5","GRĂDINIȚA NR.205",942,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:14:58",970,963,1,6,0,466,460,0,6,0,457,9,1100,634,77,22,11,97,1,224,3,4,1,17
48,"Sector 5","GRĂDINIȚA NR.205",939,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:28:36",1260,1248,0,12,0,593,581,0,12,0,571,20,1400,809,92,28,9,143,1,248,3,5,6,36
48,"Sector 5","GRĂDINȚA NR.178",961,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:54:18",1764,1757,0,7,0,785,778,0,7,0,765,17,1800,1018,122,50,15,156,4,345,6,9,16,42
48,"Sector 5","GRĂDINȚA NR.178",963,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:06:26",1803,1798,0,5,0,820,815,0,5,0,806,14,1900,1080,129,46,24,183,2,358,0,5,16,43
48,"Sector 5","GRĂDINȚA NR.178",962,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:18:19",929,919,4,6,0,369,363,0,6,0,361,8,1000,631,72,27,5,80,0,136,3,2,5,31
48,"Sector 5","LICEUL TEHNOLOGIC ”DIMITRIE GUSTI”",936,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:07:10",1235,1226,1,8,0,616,608,0,8,0,603,13,1400,784,83,39,14,195,2,216,2,3,9,40
48,"Sector 5","LICEUL TEHNOLOGIC ”DIMITRIE GUSTI”",937,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:58:40",1200,1181,11,8,0,578,570,0,8,0,566,12,1400,822,86,31,16,177,4,209,4,0,5,34
48,"Sector 5","LICEUL TEHNOLOGIC ”DIMITRIE GUSTI”",938,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:39:35",1141,1135,4,2,0,548,546,0,2,0,539,9,1300,752,53,39,20,153,1,210,6,11,9,37
