precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DAVID IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BLANGA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","TURCU IOAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CORNĂŢAN CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FARAON EUGEN-IOAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","MARCU TOMA-PARTIDUL PATRIOȚILOR-voturi","BLANGA NICOLAE-PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"PRIMARIA ROSIA",335,ROŞIA,145408,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:48:20",1279,1266,5,1,7,711,703,0,1,7,673,38,1400,689,469,109,45,4,18,20,8
34,SIBIU,"SCOALA GIMAZIALA DAIA",338,ROŞIA,145408,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:54",843,819,8,12,4,509,493,0,12,4,496,13,910,401,364,58,44,7,1,15,7
34,SIBIU,"SCOALA GIMNAZIALA CAŞOLŢ",336,ROŞIA,145408,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:40",757,739,9,7,2,415,406,0,7,2,397,17,820,406,296,36,17,29,5,7,7
34,SIBIU,"SCOALA GIMNAZIALA NOU",339,ROŞIA,145408,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:34:39",1411,1403,1,0,7,859,851,1,0,7,823,36,1553,694,488,287,22,0,3,12,11
34,SIBIU,"SEDIUL ADMINISTRATIV DISPENSAR",337,ROŞIA,145408,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:54",447,435,1,6,5,292,281,0,6,5,285,7,480,188,197,19,10,4,52,1,2
