precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA DREPTEI-voturi","BEZSNEI ANDOR-ATTILA-voturi","PAPP GHEORGHE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL ALUNIŞ-SALA MARE",227,ALUNIŞ,115147,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:40:02",766,746,1,1,18,470,451,0,1,18,426,44,848,378,71,48,201,22,8,22,49,5
28,MUREŞ,"CĂMINUL CULTURAL ALUNIŞ-SALA MICĂ",228,ALUNIŞ,115147,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:23",759,744,0,4,11,496,481,0,4,11,484,12,840,344,14,50,297,13,4,22,63,21
28,MUREŞ,"CĂMINUL CULTURAL LUNCA- MUREŞ - SALA MICĂ",230,ALUNIŞ,115147,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:22:40",547,516,0,8,23,334,303,0,8,23,323,11,570,236,7,14,245,1,2,2,19,33
28,MUREŞ,"ŞCOALA PRIMARĂ FIŢCĂU",229,ALUNIŞ,115147,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:45",391,370,0,3,18,311,290,0,3,18,296,11,425,118,1,21,209,1,48,9,5,2
