precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
26,MARAMUREŞ,"DISPENSAR UMAN",416,"SUCIU DE SUS",109041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:59",806,781,1,19,5,518,494,0,19,5,510,8,900,382,142,146,104,48,60,9,1
26,MARAMUREŞ,PRIMĂRIA,413,"SUCIU DE SUS",109041,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:06:34",1417,1368,1,33,15,949,901,0,33,15,916,33,1500,551,261,142,94,199,156,57,7
26,MARAMUREŞ,"ŞCOALA GENERALĂ CANDELA",414,"SUCIU DE SUS",109041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:11",735,717,0,18,0,392,374,0,18,0,371,21,800,408,146,55,22,83,39,5,21
26,MARAMUREŞ,"ŞCOALA PRIMARĂ",415,"SUCIU DE SUS",109041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:52:36",261,256,0,3,2,179,174,0,3,2,175,4,250,71,86,60,4,11,5,9,0
