precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL SIMINICEA",457,SIMINICEA,150221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:15",1202,1201,0,1,0,558,557,0,1,0,533,25,1300,742,157,324,31,21
35,SUCEAVA,"SCOALA GIMNAZIALA SIMINICEA",458,SIMINICEA,150221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:38",874,872,0,2,0,430,428,0,2,0,416,14,960,530,177,214,8,17
35,SUCEAVA,"SCOALA PRIMARA GRIGORESTI",459,SIMINICEA,150221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:30:29",263,263,0,0,0,120,120,0,0,0,112,8,317,197,42,59,5,6
