precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEA VIOREL-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MACAVEI MIRCEA-LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"CENTRUL DE INFORMARE TURISTICĂ",324,MOGOŞ,5826,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:26",489,451,1,24,13,313,276,0,24,13,306,7,522,209,136,170
1,ALBA,"REFUGIU TURISTIC VALEA BARNII",326,MOGOŞ,5826,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:14",121,106,0,11,4,82,67,0,11,4,81,1,124,42,42,39
1,ALBA,"ŞCOALA CU CLASELE I-IV, SAT BUTEŞTI",325,MOGOŞ,5826,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:10:11",46,40,0,5,1,34,28,0,5,1,33,1,45,11,22,11
