precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUSU EMANUEL-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHENGHEA SILVIU-IONUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","VELESCU LAURA-PARTIDUL SOCIAL DEMOCRAT-voturi","NIŢĂ DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞOROAGĂ SEBASTIAN-GEORGE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
24,IAŞI,"CENTRU DE ZI NUMĂRUL 1 SAT CORNEȘTI",549,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:49",1339,1332,0,5,2,580,573,0,5,2,561,19,1484,904,96,72,27,348,18
24,IAŞI,"GRĂDINIŢA CU PROGRAM NORMAL",551,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:42",1422,1416,2,4,0,624,620,0,4,0,616,8,1600,976,76,143,61,295,41
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL CIURBEȘTI",548,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:12",1099,1090,0,9,0,482,473,0,9,0,465,17,1200,718,64,53,66,270,12
24,IAŞI,"GRADINITA CU PROGRAM NORMAL -HORPAZ",550,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:28:30",1980,1972,4,4,0,881,876,1,4,0,860,21,2191,1310,74,272,62,382,70
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL MIROSLAVA (CORP A)",545,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:51",1668,1640,8,18,2,775,755,0,18,2,759,16,1800,1025,109,221,38,361,30
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL MIROSLAVA (CORP B)",543,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:36:39",1486,1481,1,4,0,757,753,0,4,0,742,15,1600,841,187,155,41,331,28
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL MIROSLAVA (CORP B)",544,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:29:39",1384,1377,5,0,2,703,701,0,0,2,681,21,1500,797,147,150,46,315,23
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL-VALEA ADÂNCĂ ( CORP A)",557,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:37",1554,1546,4,4,0,625,621,0,4,0,610,15,1600,975,49,241,31,228,61
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL-VALEA ADÂNCĂ (CORP B)",558,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:17:08",1576,1574,0,2,0,683,681,0,2,0,668,15,1200,114,51,277,42,238,60
24,IAŞI,"GRADINITA CU PROGRAM NORMAL-VALEA ADINCA",553,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:29:03",1384,1370,8,6,0,686,680,0,6,0,680,6,1500,814,77,284,38,240,41
24,IAŞI,"GRADINITA CU PROGRAM NORMAL-VALEA ADINCA",554,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:47",1487,1477,4,6,0,666,660,0,6,0,647,19,1600,934,62,253,55,221,56
24,IAŞI,"IMOBIL ACHIȚEI-VALEA ADÂNCĂ",556,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:17:27",1315,1305,3,7,0,631,623,1,7,0,624,6,1312,682,34,268,29,258,35
24,IAŞI,"IMOBIL ACHIȚEI-VALEA ADÂNCĂ",555,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:18:00",1727,1711,6,10,0,860,850,0,10,0,843,17,1900,1040,87,351,60,291,54
24,IAŞI,"SALA DE SPORT -MIROSLAVA",546,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:12:28",1999,1987,0,12,0,1047,1035,0,12,0,1041,6,2200,1153,186,261,43,487,64
24,IAŞI,"SCOALA CU CLASELE I-IV BRĂTULENI",547,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:38",342,335,0,7,0,173,166,0,7,0,162,11,400,227,28,7,12,111,4
24,IAŞI,"SCOALA GIMNAZIALA ”MIRON BARNOVSCHI”-URICANI",552,MIROSLAVA,97919,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:55",1173,1168,1,4,0,553,549,0,4,0,533,20,1300,747,57,81,65,316,14
24,IAŞI,"SCOALA PRIMARA-VOROVESTI",559,MIROSLAVA,97919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:21:10",1485,1468,4,13,0,748,735,0,13,0,727,21,1600,852,86,251,40,323,27
