precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGAN GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU IOAN-TIBERIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUDOR LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”GENERAL CONSTANTIN CRISTESCU” LUNCA CORBULUI",365,"LUNCA CORBULUI",16944,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:11",796,784,1,8,3,500,489,0,8,3,486,14,801,301,301,40,145
3,ARGEŞ,"ŞCOALA MÎRGHIA DE SUS",368,"LUNCA CORBULUI",16944,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:50",324,317,0,7,0,179,172,0,7,0,172,7,400,221,109,19,44
3,ARGEŞ,"ŞCOALA PĂDUREŢI",367,"LUNCA CORBULUI",16944,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:47",755,752,1,0,2,341,339,0,0,2,333,8,800,459,241,45,47
3,ARGEŞ,"ŞCOALA SILIŞTENI",366,"LUNCA CORBULUI",16944,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:33",240,235,0,5,0,157,152,0,5,0,152,5,300,143,129,12,11
