precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA ALEXANDRU-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MATIAŞ CRISTIAN-GIORGIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","VLAD CODRIN-DACIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
2,ARAD,"CAMIN CULTURAL ȚELA",191,BATA,9887,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:30",284,249,1,25,9,207,172,1,25,9,201,6,278,71,25,153,23
2,ARAD,"CĂMINUL CULTURAL BACĂUL DE MIJLOC",189,BATA,9887,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:24",150,142,0,7,1,112,104,0,7,1,108,4,157,45,30,57,21
2,ARAD,"CĂMINUL CULTURAL BULCI",190,BATA,9887,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:35",81,69,5,6,1,45,38,0,6,1,45,0,78,33,23,19,3
2,ARAD,"PRIMĂRIA COMUNEI BATA",188,BATA,9887,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:02",372,346,1,21,4,269,244,0,21,4,254,15,380,111,116,89,49
