precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1, CORP A",127,"1 DECEMBRIE",102543,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:34:49",2008,1972,17,16,3,968,949,0,16,3,943,25,2200,1232,253,436,85,138,31
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1, CORP A",128,"1 DECEMBRIE",102543,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:13:38",1892,1867,3,16,6,894,872,0,16,6,865,29,2050,1156,241,380,106,90,48
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1, CORP B",130,"1 DECEMBRIE",102543,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:50:02",1575,1560,0,14,1,795,780,0,14,1,742,53,1709,914,230,307,115,52,38
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1, CORP B",129,"1 DECEMBRIE",102543,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:45:30",1671,1650,3,13,5,921,903,0,13,5,892,29,1800,879,264,395,103,76,54
