precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"LICEUL TEHNOLOGI CĂZĂNEȘTI",76,"ORAŞ CĂZĂNEŞTI",93067,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:05:49",1357,1323,0,14,20,755,721,0,14,20,696,59,1425,670,48,150,348,65,85
23,IALOMIŢA,"LICEUL TEHNOLOGIC, CORP B",75,"ORAŞ CĂZĂNEŞTI",93067,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:45:44",1393,1352,1,10,30,743,703,0,10,30,703,27,1600,857,107,167,321,55,53
