precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PRUNDARU GABRIEL-IONUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GEORGESCU IRINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CATRINU DENISA-MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","LUPESCU GHEORGHE-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ILINCA ION-PARTIDUL PRO ROMÂNIA-voturi","TOMA ALEXANDRU-IRINEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BARBU EDUARD-FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMIN CULTURAL DOBREŞTI",337,DOBREŞTI,16427,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:13:59",742,699,0,29,14,564,521,0,29,14,529,22,780,208,20,184,93,186,11,25,10
3,ARGEŞ,"ŞCOALA GEN. I-IV FUREŞTI",338,DOBREŞTI,16427,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:22:50",721,699,1,9,12,525,505,0,8,12,504,20,748,223,27,234,70,133,1,9,30
