precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLAN SANDA-IRINA-UNIUNEA SALVAȚI ROMÂNIA-voturi","PAŞCU APĂVĂLOAIE ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi","JILCU ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GNATIUC NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRANIŞ MIHAIL-DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","LAZĂR CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"CENTRUL SOCIAL SLOBOZIA",178,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:01",1051,1043,1,6,1,442,435,0,6,1,429,13,1100,658,15,105,265,26,7,11
4,BACĂU,"COLEGIUL NAȚIONAL ”DIMITRIE CANTEMIR”",162,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:33",1280,1271,1,8,0,518,510,0,8,0,509,9,1400,882,27,177,233,27,17,28
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",146,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:39",888,879,0,6,3,309,300,0,6,3,309,0,1000,691,14,73,182,14,8,18
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",145,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:11",1027,1020,0,5,2,366,359,0,5,2,359,7,1100,732,12,115,198,9,9,16
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",143,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:43",1314,1306,0,5,3,530,523,0,5,2,522,8,1500,970,39,171,241,23,13,35
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",144,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:44",1007,993,3,9,2,362,351,0,9,2,349,13,1100,738,18,126,176,17,2,10
4,BACĂU,"COLEGIUL NAȚIONAL ”GRIGORE C.MOISIL”",147,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:56",1343,1322,0,8,13,542,521,0,8,13,529,13,1500,958,13,281,169,20,21,25
4,BACĂU,"COLEGIUL TEHNIC ”GHEORGHE ASACHI”",175,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:34",1153,1148,0,5,0,428,423,0,5,0,421,7,1300,872,26,117,230,26,12,10
4,BACĂU,"COLEGIUL TEHNIC ”GHEORGHE ASACHI”",174,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:22",1328,1324,0,4,0,508,504,0,4,0,499,9,1500,992,16,143,265,23,14,38
4,BACĂU,"COLEGIU NAŢIONAL ”DIMITRIE CANTEMIR”",168,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:48",1308,1301,1,5,1,499,493,0,5,1,499,0,1400,901,19,142,267,35,22,14
4,BACĂU,"COLEGIU NAŢIONAL ”DIMITRIE CANTEMIR”",167,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:50",1152,1142,2,7,1,454,446,0,7,1,447,7,1300,846,21,132,243,16,13,22
4,BACĂU,"COLEGIU NAŢIONAL ”DIMITRIE CANTEMIR”",169,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:02",1168,1158,1,8,1,421,412,0,8,1,414,7,1300,879,27,128,213,14,14,18
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",164,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:18",1011,1003,0,6,2,433,425,0,6,2,423,10,1100,667,17,131,229,23,11,12
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",163,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:17",1241,1230,0,10,1,485,474,0,10,1,471,14,1400,915,34,139,236,21,13,28
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",166,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:43",1379,1361,2,12,4,497,481,0,12,4,490,7,1500,1003,19,163,242,32,10,24
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",165,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:25",1084,1073,6,3,2,363,357,3,1,2,348,15,1195,832,25,136,150,13,5,19
4,BACĂU,"LICEUL TEHNOLOGIC ”DACIA” (FOSTA NR.7)",161,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:21",737,730,0,7,0,307,300,0,7,0,297,10,800,493,14,106,133,16,9,19
4,BACĂU,"LICEUL TEHNOLOGIC ”DACIA” (FOSTA NR.7)",160,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:40:09",1154,1147,0,4,3,476,469,0,4,3,470,6,1300,818,22,166,218,22,7,35
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",158,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:20",1125,1118,1,4,2,413,407,0,4,2,395,18,1200,787,12,96,235,25,4,23
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",157,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:17",1064,1053,2,8,1,397,388,0,8,1,384,9,1200,807,16,112,190,28,17,21
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",159,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:23",1102,1095,1,5,1,418,412,0,5,1,415,3,1200,782,20,103,248,16,10,18
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",156,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:30",1175,1164,4,7,0,394,387,0,7,0,385,9,1300,906,15,96,235,16,4,19
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU PONI”",171,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:20",954,946,1,5,2,322,315,0,5,2,312,10,1006,684,15,96,163,19,9,10
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU PONI”",170,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:25",859,850,0,8,1,343,334,0,8,1,336,7,900,557,12,97,193,15,8,11
4,BACĂU,"LICEUL TEHNOLOGIC (TCR)",176,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:34",939,933,0,6,0,341,335,0,6,0,328,13,1000,659,20,131,130,21,13,13
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",154,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:07",1440,1424,1,12,3,597,582,0,12,3,584,13,1600,1003,33,172,297,37,10,35
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",151,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:26",1073,1062,4,7,0,386,379,0,7,0,374,12,1200,814,22,83,211,28,13,17
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",153,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:57",963,958,0,5,0,313,308,0,5,0,296,17,1100,787,13,69,182,12,11,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",152,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:42",1207,1201,0,4,2,457,451,0,4,2,448,9,1300,843,13,110,275,14,13,23
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",155,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:24:45",1478,1473,0,4,1,553,548,0,4,1,541,12,1600,1047,19,145,319,21,8,29
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU” (FOSTĂ NR.8)",173,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:14:08",1278,1269,2,6,1,512,505,0,6,1,505,5,1400,890,13,179,259,24,12,18
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU” (FOSTĂ NR.8)",172,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:14",1444,1434,2,8,0,547,539,0,8,0,526,21,1500,953,36,150,282,24,13,21
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL VOIEVOD ȘTEFAN CEL MARE” (FOSTA NR.9)",148,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:36",1180,1176,0,4,0,422,418,0,4,0,401,21,1300,878,16,136,208,17,12,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL VOIEVOD ȘTEFAN CEL MARE”(FOSTA NR.9)",150,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:49:45",1335,1323,3,5,4,515,506,0,5,4,497,18,1500,985,17,171,232,39,8,30
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL VOIEVOD ȘTEFAN CEL MARE”(FOSTA NR.9)",149,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:38",1318,1308,0,7,3,513,503,0,7,3,496,13,1400,891,15,146,290,20,4,21
4,BACĂU,"SERA BORZEŞTI",177,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:31",771,759,2,7,3,268,258,0,7,3,261,7,813,545,5,79,127,29,4,17
