precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRATU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DANŢIŞ IONICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"CĂMIN CULTURAL SAT SPINEȘTI",357,VRÂNCIOAIA,178750,3,PART,PRCNCT,P,P_SV,"2024-06-11 09:02:34",599,570,0,4,25,337,308,0,4,25,326,11,656,319,27,299
41,VRANCEA,"SALA DE FESTIVITĂŢI MUNCEI",355,VRÂNCIOAIA,178750,4,PART,PRCNCT,P,P_SV,"2024-06-11 09:00:26",531,506,0,2,23,312,287,0,2,23,304,8,581,269,47,257
41,VRANCEA,"SALA DE ŞEDINŢE ŞI WORKSHOP",354,VRÂNCIOAIA,178750,3,PART,PRCNCT,P,P_SV,"2024-06-11 09:16:31",480,459,1,5,15,270,250,0,5,15,254,16,525,255,51,203
41,VRANCEA,"ŞCOALA PRIMARĂ POIANA - SALA GRĂDINIȚEI",356,VRÂNCIOAIA,178750,2,PART,PRCNCT,P,P_SV,"2024-06-11 08:40:10",648,516,0,108,24,474,342,0,108,24,444,30,595,121,369,75
