precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GRĂDINARIU DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIRON DORINA-PARTIDUL NAȚIONAL LIBERAL-voturi","AGHEORGHIŢOAEI AUREL-COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"SCOALA DIMITRIE POMPEIU BROSCAUTI",169,BROSCĂUŢI,36426,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:11:15",1490,1464,0,2,24,885,859,0,2,24,866,19,1600,715,16,441,409
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE POMPEIU”",170,BROSCĂUŢI,36426,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:35",1234,1214,0,2,18,654,634,0,2,18,620,14,1365,731,23,325,272
