precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAŞOL NICOLAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DINU MĂDĂLIN-LAURIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NEGRARU SILVIU-CĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MUŞAT CORNEL-SORIN-FORȚA DREPTEI-voturi","SUDITU VALERIU-DORU-PARTIDUL MIȘCAREA POPULARĂ-voturi","MINCULEŢ BOGDAN-CRISTIAN-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"CENTRUL CULTURAL ”ADRIAN PĂUNESCU”",242,"ORAŞ MIZIL",131407,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:49:32",1374,1366,2,6,0,550,544,0,6,0,524,26,1500,950,57,71,285,26,15,70
31,PRAHOVA,"LICEUL TEHNOLOGIC ”TASE DUMITRESCU ” MIZIL",239,"ORAŞ MIZIL",131407,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:24",1008,1002,0,6,0,315,309,0,6,0,281,34,1100,785,26,23,180,11,11,30
31,PRAHOVA,"LICEUL TEHNOLOGIC ”TASE DUMITRESCU” MIZIL",238,"ORAŞ MIZIL",131407,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:13:15",847,843,1,3,0,365,361,1,3,0,351,14,900,535,36,52,180,12,18,53
31,PRAHOVA,"LICEUL TEORETIC ” GRIGORE TOCILESCU” MIZIL",245,"ORAŞ MIZIL",131407,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:35",1004,991,0,10,3,385,372,0,10,3,375,10,1100,715,68,52,156,10,22,67
31,PRAHOVA,"PRIMĂRIA ORAŞ MIZIL",241,"ORAŞ MIZIL",131407,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:37",1013,1006,0,7,0,427,420,0,7,0,413,14,1188,761,43,49,198,28,28,67
31,PRAHOVA,"PRIMĂRIA ORAŞ MIZIL",240,"ORAŞ MIZIL",131407,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:48",997,991,0,5,1,430,424,0,5,1,424,6,1100,670,44,43,233,23,11,70
31,PRAHOVA,"SALA DE SPORT MIZIL",235,"ORAŞ MIZIL",131407,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:38",1567,1557,0,10,0,611,601,0,10,0,567,44,1700,1089,53,77,330,22,29,56
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ NR.1 MIZIL",237,"ORAŞ MIZIL",131407,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:12:38",973,964,4,5,0,373,368,0,5,0,360,13,1100,727,29,29,192,18,35,57
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ” SFÂNTA MARIA ”MIZIL",243,"ORAŞ MIZIL",131407,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:34",952,946,0,5,1,367,361,0,5,1,361,6,1000,633,51,44,155,14,21,76
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ” SFÂNTA MARIA ”MIZIL",244,"ORAŞ MIZIL",131407,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:36:47",1046,1042,0,3,1,487,483,0,3,1,473,14,1100,613,63,64,204,21,40,81
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ” SFÂNTUL NICOLAE ”MIZIL",236,"ORAŞ MIZIL",131407,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:30",1245,1238,0,7,0,527,520,0,7,0,491,36,1400,873,47,54,204,20,13,153
