precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL IALOMIȚENILOR-voturi"
23,IALOMIŢA,"GRADINITA ION ROATA (LOCALUL VECHI COLINELE)",162,"ION ROATĂ",103862,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:56:12",755,743,2,8,2,442,432,0,8,2,408,34,830,388,47,72,54,88,147
23,IALOMIŢA,"ŞCOALA GIMNAZIALA ION ROATA",161,"ION ROATĂ",103862,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:19",868,856,0,8,4,502,490,0,8,4,466,36,947,445,77,92,77,53,167
23,IALOMIŢA,"ŞCOALA GIMNAZIALA ION ROATA(STRUCTURA BROSTENI)",163,"ION ROATĂ",103862,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:59:20",1178,1175,0,0,3,660,657,0,0,3,593,67,1300,640,132,57,130,44,230
