precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL, NR.20",147,DRAGU,141027,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:54:11",27,14,0,12,1,18,5,0,12,1,17,0,40,22,0,1,11,1,4
33,SĂLAJ,"PRIMĂRIA DRAGU, NR.120",145,DRAGU,141027,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:11",571,519,0,37,15,371,319,0,37,15,333,38,570,199,21,65,220,14,13
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV, NR.100",146,DRAGU,141027,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:39",125,111,0,12,2,77,63,0,12,2,72,5,120,43,0,5,57,3,7
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV, NR.117",148,DRAGU,141027,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:55",238,225,0,12,1,136,123,0,12,1,119,17,239,103,1,24,83,3,8
