precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIUGEA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VASILESCU LIA-OLGUŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","MIREA MARIUS-ALEXANDRU-PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","VAVA ŞTEFAN-CLAUDIU-PARTIDUL PRO ROMÂNIA-voturi","MLADIN EMIL-IULIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PORUMBOIU GABRIELA-PARTIDUL OAMENILOR TINERI-voturi","NEAGU FLORENTINA-EMILIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DIACONU RĂZVAN-CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","POTERAŞ COSMIN-MARIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","OANCEA ELENA-voturi","DAN AURELIAN-LEONARD-voturi"
17,DOLJ,"CASA DE CULTURA A STUDENŢILOR",2,"MUNICIPIUL CRAIOVA",69900,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:06:34",1380,1326,44,10,0,519,508,1,10,0,507,12,1400,881,42,85,243,5,1,1,5,74,13,18,18,2
17,DOLJ,"COLEGIUL NAŢIONAL ”CAROL I”",61,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:55",854,830,16,8,0,409,401,0,8,0,393,16,1002,593,39,56,192,7,0,2,3,62,3,19,9,1
17,DOLJ,"COLEGIUL NAȚIONAL ”CAROL I”",62,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:34:54",1267,1238,20,9,0,459,450,0,9,0,445,14,1400,941,52,72,202,1,6,3,6,65,5,16,16,1
17,DOLJ,"COLEGIUL NAŢIONAL ECONOMIC ”GHEORGHE CHIŢU”",47,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:01:37",1505,1444,23,7,31,622,585,0,7,30,617,5,1600,978,42,79,342,5,3,2,9,91,9,16,11,8
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",46,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:12:33",1238,1196,1,8,33,478,441,0,8,29,466,12,1400,922,42,80,255,0,2,0,6,51,18,7,4,1
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",45,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:08:50",1321,1282,7,10,22,519,489,0,10,20,508,11,1500,981,38,79,298,2,0,1,8,61,8,8,4,1
17,DOLJ,"COLEGIUL NAŢIONAL ”ELENA CUZA”",1,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:00:18",1598,1564,22,12,0,468,456,0,12,0,456,12,1632,1164,58,57,214,5,3,0,6,74,7,22,6,4
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",53,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:20:47",1635,1616,5,7,7,679,665,0,7,7,659,20,1900,1221,60,95,368,0,0,4,3,76,14,27,7,5
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",52,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:23:53",1778,1770,0,8,0,710,702,0,8,0,695,15,2000,1290,80,115,342,3,3,3,6,99,7,15,19,3
17,DOLJ,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU”",125,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:34",1558,1526,21,11,0,693,682,0,11,0,681,12,1700,1007,67,100,367,3,2,5,3,90,8,20,13,3
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",115,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:11:28",1550,1527,16,7,0,670,663,0,7,0,656,14,1700,1030,52,77,374,1,3,2,8,94,16,15,9,5
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",114,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:20:58",1886,1876,3,7,0,697,688,2,7,0,686,11,2000,1303,56,111,370,2,2,0,5,101,13,12,9,5
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENITESCU”",103,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:32",1440,1422,12,6,0,595,589,0,6,0,586,9,1700,1105,59,99,317,0,2,4,8,80,10,0,7,0
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",106,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:29",1512,1502,1,9,0,587,578,0,9,0,571,16,1700,1113,42,83,309,3,2,4,5,79,20,14,4,6
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",104,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:27:33",1773,1761,6,6,0,677,671,0,6,0,657,20,2000,1323,38,108,370,3,4,1,16,75,19,9,8,6
