precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
19,GIURGIU,"CLĂDIRE DE INTERES PUBLIC",166,IZVOARELE,103899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:06",105,53,0,45,7,84,32,0,45,7,84,0,113,29,72,2,10,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR.3 VALEA BUJORULUI",168,IZVOARELE,103899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:25",416,325,1,47,43,318,228,0,47,43,311,7,404,86,295,2,11,3
19,GIURGIU,"ŞCOALA GENERALĂ RADU VODĂ",167,IZVOARELE,103899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:29",149,99,1,38,11,149,99,1,38,11,146,3,182,33,131,3,8,4
19,GIURGIU,"ŞCOALA GIMNAZIALA NR.1 IZVOARELE",163,IZVOARELE,103899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:41",909,739,0,81,89,706,536,0,81,89,699,7,1000,294,658,9,28,4
19,GIURGIU,"ŞCOALA GIMNAZIALA NR.2 CHIRIACU",164,IZVOARELE,103899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:54",1174,967,0,102,105,801,594,0,102,105,792,9,1015,214,730,11,41,10
19,GIURGIU,"SEDIUL FOSTEI SECŢII DE MECANIZARE A SATULUI DIMITRIE CANTEMIR",165,IZVOARELE,103899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:33",146,102,0,30,14,98,54,0,30,14,95,3,127,29,88,1,6,0
