precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ADEVĂR, DEMOCRAȚIE, EDUCAȚIE, RECONSTRUCȚIE-voturi"
14,CONSTANŢA,"CĂMIN CULTURAL PECINEAGA",517,PECINEAGA,62672,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:34:12",1365,1345,3,2,15,765,748,0,2,15,738,27,1481,716,519,114,24,54,27
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR.1 PECINEAGA",518,PECINEAGA,62672,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:15",1434,1413,0,10,11,803,782,0,10,11,777,26,1413,610,552,134,28,36,27
