precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BONCAN GHEORGHE-DORINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MELENTE GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂLĂU ILIE-DORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BONCANI",218,DRĂGOEŞTI,169547,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:39:38",459,431,1,14,13,333,306,0,14,13,328,5,480,147,198,88,42
40,VÂLCEA,"ȘCOALA CU CLASELE I- IV GEAMĂNA- BUCIUMENI",217,DRĂGOEŞTI,169547,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:44",554,507,1,29,17,427,380,1,29,17,419,8,580,153,300,100,19
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII DRĂGOEŞTI",216,DRĂGOEŞTI,169547,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:31:15",600,568,0,24,8,417,385,0,24,8,407,10,620,203,193,182,32
