precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
34,SIBIU,"PRIMĂRIA COMUNEI JINA",283,JINA,144713,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:36",1488,1447,0,8,33,944,903,0,8,33,909,35,1600,656,343,145,388,2,31
34,SIBIU,"ŞCOALA GIMNAZIALĂ JINA BĂIEŞI",284,JINA,144713,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:38",1200,1198,0,0,2,641,639,0,0,2,540,101,1304,663,58,47,186,83,166
