precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MANEA VIOLETA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARBU CIPRIAN-GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","PURCARU GHEORGHE-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",182,"ORAŞ AZUGA",130954,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:25",1012,989,0,20,3,613,590,0,20,3,597,11,1100,487,23,300,274
31,PRAHOVA,"LICEUL TEORETIC AZUGA",181,"ORAŞ AZUGA",130954,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:13:45",1636,1613,0,15,8,1005,982,0,15,8,930,29,1800,800,37,449,444
31,PRAHOVA,"SALǍ DE SPORT CU TRIBUNǍ 180 LOCURI",183,"ORAŞ AZUGA",130954,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:02",1154,1132,0,19,3,720,698,0,19,3,697,23,1300,580,36,288,373
