precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONESCU MARIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIU ION-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL VALEA CASELOR",406,"VALEA MARE",69170,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:06",563,560,1,1,1,361,358,1,1,1,351,10,620,259,32,319
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ VALEA MARE",405,"VALEA MARE",69170,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:01",1152,1150,0,2,0,711,709,0,2,0,692,19,1262,551,47,645
