precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","ANGHEL ION-EDUARD-voturi"
3,ARGEŞ,"CĂMIN CULTURAL LIVEZENI",471,STÂLPENI,18778,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:37:59",1202,1192,0,4,6,740,730,0,4,6,712,28,1195,455,229,64,286,86,47
3,ARGEŞ,"CAMINUL CULTURAL RĂDEŞTI",472,STÂLPENI,18778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:20:43",1339,1327,0,0,12,892,880,0,0,12,852,28,1600,720,369,29,359,37,58
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT STÎLPENI",470,STÂLPENI,18778,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:34:40",1482,1466,2,6,8,945,936,1,0,8,834,111,1600,655,173,38,435,31,157
