precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLĂŞOIU AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","MIU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","RAINEA ALIN-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL ”MARIN ANGELESCU”, ROCIU",449,ROCIU,18475,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:52",360,352,0,8,0,209,201,0,8,0,206,3,377,168,40,20,146
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL ”THEODOR ANGHEL”, GLIGANU DE JOS",450,ROCIU,18475,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:34:19",353,338,0,12,3,222,207,0,12,3,212,4,360,143,66,32,114
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE MOCANU” PRIMAR, GIMNAZIAL, ŞERBĂNEŞTI",452,ROCIU,18475,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:35:13",790,767,0,10,13,556,533,0,10,13,533,23,850,294,343,97,93
3,ARGEŞ,"ŞCOALA PRIMARĂ ”ION BĂLTEANU”, GLIGANU DE SUS",451,ROCIU,18475,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:14",532,509,0,13,10,365,342,0,13,10,358,7,565,200,144,137,77
