precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IORDACHE ALIN-IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","COJOCARU ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CĂMIN CULTURAL SBOGHIŢEŞTI",414,NUCŞOARA,17771,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:47",310,297,0,2,11,237,224,0,2,11,226,11,343,106,70,156
3,ARGEŞ,"CĂMIN CULTURAL SLATINA",415,NUCŞOARA,17771,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:11:54",431,417,0,5,9,293,279,0,5,9,288,5,500,207,26,262
3,ARGEŞ,"CAMINUL CULTURAL NUCSOARA",413,NUCŞOARA,17771,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:15:00",340,316,0,8,16,278,254,0,8,16,259,3,366,104,27,232
