precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","OSTAFI GIGI-voturi","OLĂIANOŞ IONEL-voturi"
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM NORMAL DUMBRĂVIŢA",340,DUMBRĂVIŢA,40928,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:04:55",1775,1766,1,7,1,1062,1054,0,7,1,1001,61,1931,869,174,354,299,27,52,18,77
8,BRAŞOV,"PRIMĂRIA COMUNEI DUMBRĂVIŢA",339,DUMBRĂVIŢA,40928,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:48:30",1618,1608,2,7,1,941,933,0,7,1,869,72,1800,859,136,317,270,39,47,19,41
8,BRAŞOV,"ŞCOALA GENERALĂ SAT VLĂDENI",341,DUMBRĂVIŢA,40928,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:32:42",751,738,0,12,1,436,423,0,12,1,405,29,800,366,146,98,123,22,8,4,4
