precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1 MOARA VLASIEI",248,"MOARA VLĂSIEI",104243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:44",1875,1857,0,13,5,990,972,0,13,5,949,41,2004,1014,99,850
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 2 MOARA VLASIEI",247,"MOARA VLĂSIEI",104243,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:47:10",1903,1887,2,5,9,1033,1019,0,5,9,990,41,2100,1065,104,886
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 3 ”AL. DIMITRIE GHICA ”",249,"MOARA VLĂSIEI",104243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:28:56",1614,1605,3,6,0,934,928,0,6,0,911,22,1805,871,83,828
