precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGAN VIRGINIA-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA IONUŢ-VALENTIN-voturi","ANTON MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",176,MÂRŞA,104225,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:33:44",949,885,0,15,49,655,591,0,15,49,646,9,1026,371,488,141,17
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",177,MÂRŞA,104225,3,PART,PRCNCT,P,P_SV,"2024-06-11 15:38:30",1180,1144,0,8,28,817,781,0,8,28,805,12,1289,472,605,148,52
