precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COCOROVEANU ANGHEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CĂTĂNOIU DIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VIJULAN MARIUS-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BENEGUI CLAUDIU-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CĂMIN CULTURAL",332,VLADIMIR,82831,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:23",853,790,1,47,15,607,544,1,47,15,583,24,900,293,80,115,310,78
20,GORJ,"ŞCOALA PRIMARĂ NR 1 VLADIMIR",333,VLADIMIR,82831,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:15",845,791,0,28,26,570,516,0,28,26,555,15,900,330,62,195,264,34
20,GORJ,"ŞCOALA PRIMARĂ NR. 2 FRASIN",334,VLADIMIR,82831,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:52",572,539,1,24,8,371,339,0,24,8,357,14,581,210,104,99,131,23
