precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","TĂNASIE ION-voturi","COSMA VASILE-voturi","DIACONU VIOREL-CONSTANTIN-voturi"
40,VÂLCEA,"ŞCOALĂ GIMNAZIALĂ PIETRARI",337,PIETRARI,172340,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:59",1316,1294,2,3,17,801,780,1,3,17,752,49,1420,619,106,388,84,81,18,9,66
40,VÂLCEA,"ŞCOALA PRIMARĂ PIETRARII DE SUS",338,PIETRARI,172340,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:46",1105,1091,1,3,10,636,622,1,3,10,581,55,1200,564,112,242,36,37,48,5,101
