precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZDROB TUDOR-ION-PARTIDUL NAȚIONAL LIBERAL-voturi","POENARI BOGDAN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŢÎMPĂU CONSTANTIN-STRATON-PARTIDUL SOCIAL DEMOCRAT-voturi","VANCEA CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL BOTUȘ",332,"FUNDU MOLDOVEI",148765,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:19",969,955,2,10,2,542,530,0,10,2,519,23,1115,573,392,55,20,52
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ”DIMITRIE GUSTI”",331,"FUNDU MOLDOVEI",148765,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:33:43",1523,1494,4,12,13,955,927,3,12,13,923,32,1600,645,530,154,74,165
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ ”TRAIAN POPOVICI” COLACU",333,"FUNDU MOLDOVEI",148765,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:47",805,796,1,8,0,495,486,1,8,0,480,15,900,405,327,55,36,62
