precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
37,TIMIŞ,"CASA NATIONALA EFTA BOTOCA",449,JEBEL,157424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:14:26",1515,1493,3,10,9,821,802,0,10,9,793,28,2024,1203,190,95,508
37,TIMIŞ,"GRADINITA PN JEBEL",450,JEBEL,157424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:35",1631,1583,5,13,30,902,859,0,13,30,862,40,1872,970,174,89,599
