precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KERESKÉNYI GÁBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TIŞEA LUCIAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROCA RADU-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIARFAŞ ADELIN-CRISTIAN-FORȚA DREPTEI-voturi","PANAIT RADU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BĂBUŢ DAN-PARTIDUL PATRIOȚILOR-voturi","PALINCAŞ VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",41,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:40",1310,1300,2,6,2,564,557,0,6,1,549,15,1400,836,349,26,81,13,73,2,5
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",42,"MUNICIPIUL SATU MARE",136483,5,PART,PRCNCT,P,P_SV,"2024-06-12 14:15:41",1314,1310,0,4,0,595,591,0,4,0,583,12,1400,805,370,16,108,13,72,2,2
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",43,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:05",1225,1211,1,12,1,543,530,0,12,1,535,8,1300,757,351,21,67,11,72,2,11
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",44,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:11",1599,1589,0,8,2,721,713,0,6,2,713,8,1800,1079,434,27,111,11,114,3,13
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",45,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:35",1296,1286,4,5,1,562,556,0,5,1,558,4,1400,838,355,23,90,13,66,0,11
32,"SATU MARE","LICEUL TEOLOGIC”NICOLAE STEINHARDT ”",53,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:32:43",1476,1457,1,6,12,672,654,0,6,12,659,13,1600,928,474,20,90,9,55,2,9
32,"SATU MARE","LICEUL TEOLOGIC”NICOLAE STEINHARDT ”",52,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:24",1463,1453,3,5,2,511,503,1,5,2,495,16,1601,1090,355,22,61,8,42,1,6
32,"SATU MARE","LICEUL TEOLOGIC ROMANO-CATOLIC ” HÁM JÁNOS ”",62,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:09",813,785,8,16,4,327,311,1,11,4,320,7,1001,674,194,7,59,18,34,3,5
32,"SATU MARE","LICEUL TEORETIC GERMAN ” JOHANN ETTINGER ”",21,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:31:17",1742,1736,0,6,0,740,734,0,6,0,731,9,1900,1160,447,35,117,12,105,2,13
32,"SATU MARE","ŞC. CU CLS.I-VIII NR. 9",20,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:48",1241,1233,0,5,3,528,521,0,5,2,521,7,1298,770,228,36,152,18,77,3,7
