precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
4,BACĂU,"CAMIN CULTURAL FLORESTI",574,SCORŢENI,25291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:17",567,557,0,7,3,302,292,0,7,3,289,13,600,298,60,20,77,17,36,58,4,15,2
4,BACĂU,"CAMIN CULTURAL GRIGORENI",575,SCORŢENI,25291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:32:21",662,643,1,7,11,388,369,1,7,11,365,23,700,312,260,14,24,17,6,11,18,14,1
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL SCORŢENI",573,SCORŢENI,25291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:37:36",1214,1177,0,9,28,702,665,0,9,28,658,44,1300,598,244,99,71,131,4,12,70,6,21
