precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POTELEANU IONUŢ-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","PANDEA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","MŰLER EMIL-IUSTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA DRAGOS MARIN",212,"ŞTEFAN CEL MARE",94562,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:58:12",1598,1535,0,4,59,806,743,0,4,59,798,8,1600,794,126,590,82
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA DRAGOS MARIN",213,"ŞTEFAN CEL MARE",94562,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:54:31",1125,1107,0,0,18,614,596,0,0,18,603,11,1336,722,50,488,65
