precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CURMEI IRINA-ADRIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","PETROVAN SORIN-ZAHARIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","OROSZ KRISZTOFER-LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ONIŢA-IVAŞCU MARIA-DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","TIVADAR VASILE-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","IUGA NICOLAE-PARTIDUL S.O.S. ROMÂNIA-voturi","PLOPIŞAN DANIEL-MIHAI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",96,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:49:05",808,803,2,3,0,338,335,0,3,0,329,9,800,462,46,172,7,35,53,2,7,7
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",97,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:09",1427,1412,3,12,0,525,513,0,12,0,508,17,1600,1075,83,203,12,84,101,3,18,4
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",95,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:48:08",885,874,2,6,3,350,341,0,6,3,327,23,1000,641,31,171,28,33,52,2,9,1
26,MARAMUREŞ,"GRĂDINIȚA NR. 1",111,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 14:37:17",825,816,0,9,0,301,292,0,9,0,292,9,800,499,32,117,13,25,99,0,3,3
26,MARAMUREŞ,"GRĂDINIȚA NR. 1",110,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:29",984,970,1,13,0,397,384,0,13,0,382,15,1000,603,67,173,11,42,67,1,15,6
26,MARAMUREŞ,"GRĂDINIȚA NR. 12",90,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:15",1434,1421,2,9,2,499,488,0,9,2,475,24,1600,1101,79,192,17,51,105,0,24,7
26,MARAMUREŞ,"GRĂDINIȚA NR. 9",101,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:07",1511,1505,2,4,0,640,636,0,4,0,620,20,1600,960,92,251,22,94,136,3,16,6
26,MARAMUREŞ,"LICEUL „REGELE FERDINAND”",93,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:44",267,258,0,9,0,267,258,0,9,0,248,19,1000,733,40,109,7,13,69,0,7,3
26,MARAMUREŞ,"LICEUL „REGELE FERDINAND”",94,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:45",1076,1040,1,3,32,472,437,0,3,32,457,15,1000,528,71,221,16,41,88,1,14,5
26,MARAMUREŞ,"LICEUL „TARAS SEVCENCO”",98,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:12",1227,1212,1,12,2,449,435,0,12,2,427,22,1200,751,48,151,11,116,75,3,20,3
26,MARAMUREŞ,"LICEUL „TARAS SEVCENCO”",99,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:27",1197,1180,5,10,2,457,445,0,10,2,442,15,1200,743,69,181,12,73,80,2,17,8
26,MARAMUREŞ,"LICEUL TEHNOLOGIC FORESTIER",105,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:27:58",1096,1087,2,6,1,439,433,0,6,0,418,21,1200,761,56,207,24,47,64,0,16,4
26,MARAMUREŞ,"LICEUL TEHNOLOGIC FORESTIER",104,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:35",815,808,0,5,2,326,319,0,5,2,307,19,800,474,31,140,25,29,73,0,8,1
26,MARAMUREŞ,"SALA POLIVALENTĂ",112,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:09:54",985,975,1,6,3,386,377,0,6,3,376,10,1000,612,62,189,8,20,67,0,23,7
26,MARAMUREŞ,"SALA POLIVALENTĂ",113,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:53:08",782,774,0,7,1,284,276,0,7,1,274,10,860,575,36,127,16,30,45,2,13,5
26,MARAMUREŞ,"SALA POLIVALENTĂ",114,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:50:37",1865,1860,0,4,1,750,746,0,3,1,731,19,2500,1750,109,416,20,24,133,0,21,8
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 1",88,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:47",1422,1414,0,8,0,528,520,0,8,0,505,23,1600,1072,89,222,9,2,167,0,11,5
