precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORĂSCU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","PEŞTEREANU TOMA-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂSAI DORINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU ION-PARTIDUL PRO ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BISTRIŢA",201,COSTEŞTI,169253,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:08",695,655,1,20,19,411,372,0,20,19,398,13,750,94,227,157,3,11
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV PIETRENI",202,COSTEŞTI,169253,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:29:07",413,397,1,0,15,324,308,1,0,15,316,7,441,118,178,110,5,23
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII COSTEŞTI",200,COSTEŞTI,169253,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:27",1109,999,0,54,56,1109,999,0,54,56,1075,34,1640,531,587,447,19,22
