precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMĂNESCU GEORGE-VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRIN FLOREA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHERGHE SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:20",1223,1155,1,16,51,901,834,0,16,51,795,39,1265,431,79,110,606
36,TELEORMAN,"SCOALA GIMNAZIALA BRANCENI",116,BRÂNCENI,152252,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:01",1093,1026,0,22,45,784,717,0,22,45,697,20,1130,336,53,72,572
