precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:50:05",1371,1358,3,6,4,806,795,1,6,4,758,48,1495,689,87,296,338,37
41,VRANCEA,"GRĂDINIȚA DE COPII - SALA II",120,BROŞTENI,175466,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:16",527,525,0,1,1,316,314,0,1,1,299,17,579,263,49,124,101,25
