precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"AVERESCU PAUL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUBICĂ IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CĂRĂUŞU HORAŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","BRIŞCARU ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR.1 SAT BĂCEŞTI",199,BĂCEŞTI,162381,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:53",1737,1713,0,4,20,671,647,0,4,20,626,45,1796,1125,11,106,461,48
39,VASLUI,"ŞCOALA PRIMARĂ SAT ARMĂŞENI",200,BĂCEŞTI,162381,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:25",308,304,0,1,3,168,164,0,1,3,163,5,400,232,4,17,103,39
39,VASLUI,"ŞCOALA PRIMARĂ SAT BĂBUŞA",201,BĂCEŞTI,162381,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:55:45",318,311,0,3,4,171,164,0,3,4,164,7,400,229,13,22,119,10
39,VASLUI,"ŞCOALA PRIMARĂ SAT PĂLTINIŞ",202,BĂCEŞTI,162381,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:08:36",275,271,0,4,0,152,148,0,4,0,130,22,300,148,1,11,106,12
39,VASLUI,"ŞCOALA PRIMARĂ SAT ŢIBĂNEŞTII BUHLII",203,BĂCEŞTI,162381,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:13",172,160,0,10,2,84,72,0,10,2,81,3,200,116,1,7,60,13
39,VASLUI,"ŞCOALA PRIMARĂ SAT VOVRIEŞTI",204,BĂCEŞTI,162381,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:29",231,218,0,8,5,231,218,0,8,5,107,4,250,139,3,20,63,21
