precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","ION SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IACOB CONSTANTIN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLĂIAŞU GABRIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"AFTER- SCHOOL",414,VÂRFURI,69447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:19",681,670,1,4,6,380,370,0,4,6,366,14,740,360,291,35,29,11
16,DÂMBOVIŢA,"AFTER SCHOOL BĂRBULEŢU",140,BĂRBULEŢU,66223,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:54",1270,1270,0,0,0,698,698,0,0,0,663,35,1400,702,481,52,116,14
16,DÂMBOVIŢA,"BIBLIOTECA COMUNALĂ",358,RĂZVAD,65431,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:09",1397,1389,3,2,3,758,753,0,2,3,738,17,1520,765,533,85,56,64
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:41",1042,1032,4,6,0,469,463,0,6,0,462,7,1150,681,235,101,39,87
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:27",800,791,1,8,0,379,371,0,8,0,363,16,870,491,214,57,36,56
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:23",795,788,2,5,0,379,374,0,5,0,358,21,870,491,195,68,45,50
16,DÂMBOVIŢA,"CAMIN CULTURAL",158,BUCIUMENI,66438,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:22",959,923,0,3,33,565,529,0,3,33,550,15,1050,485,501,30,14,5
16,DÂMBOVIŢA,"CAMIN CULTURAL",156,BUCIUMENI,66438,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:07",1439,1411,3,1,24,793,767,1,1,24,751,42,1590,797,491,136,70,54
16,DÂMBOVIŢA,"CĂMIN CULTURAL",333,PETREŞTI,65752,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:51:37",575,562,0,5,8,394,381,0,5,8,375,19,620,226,152,184,29,10
16,DÂMBOVIŢA,"CĂMIN CULTURAL",348,PRODULEŞTI,68529,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:55",1415,1398,2,2,13,780,764,1,2,13,737,43,1550,770,581,79,55,22
16,DÂMBOVIŢA,"CĂMIN CULTURAL",415,VÂRFURI,69447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:52",759,756,0,0,3,437,434,0,0,3,425,12,830,393,316,56,35,18
16,DÂMBOVIŢA,"CĂMIN CULTURAL",215,"COSTEŞTII DIN VALE",67121,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:46:16",1255,1245,0,3,7,792,782,0,3,7,745,47,1380,588,340,320,68,17
16,DÂMBOVIŢA,"CĂMIN CULTURAL",423,VLĂDENI,179711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:05",997,992,1,1,3,516,512,0,1,3,496,20,1102,585,297,102,45,52
16,DÂMBOVIŢA,"CĂMIN CULTURAL",221,CREVEDIA,102286,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:16",734,648,2,74,10,500,416,0,74,10,474,26,720,220,238,117,42,77
